Id,Symbol,Name,Sector
1,MMM,3M Company,Industrials
2,ABT,Abbott Laboratories,Health Care
3,ABBV,AbbVie,Health Care
4,ACN,Accenture plc,Information Technology
5,ATVI,Activision Blizzard,Information Technology
6,AYI,Acuity Brands Inc,Industrials
7,ADBE,Adobe Systems Inc,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AES,AES Corp,Utilities
10,AET,Aetna Inc,Health Care
11,AMG,Affiliated Managers Group Inc,Financials
12,AFL,AFLAC Inc,Financials
13,A,Agilent Technologies Inc,Health Care
14,APD,Air Products & Chemicals Inc,Materials
15,AKAM,Akamai Technologies Inc,Information Technology
16,ALK,Alaska Air Group Inc,Industrials
17,ALB,Albemarle Corp,Materials
18,AA,Alcoa Inc,Materials
19,ALXN,Alexion Pharmaceuticals,Health Care
20,ALLE,Allegion,Industrials
21,AGN,Allergan plc,Health Care
22,ADS,Alliance Data Systems,Information Technology
23,LNT,Alliant Energy Corp,Utilities
24,ALL,Allstate Corp,Financials
25,GOOGL,Alphabet Inc Class A,Information Technology
26,GOOG,Alphabet Inc Class C,Information Technology
27,MO,Altria Group Inc,Consumer Staples
28,AMZN,Amazon.com Inc,Consumer Discretionary
29,AEE,Ameren Corp,Utilities
30,AAL,American Airlines Group,Industrials
31,AEP,American Electric Power,Utilities
32,AXP,American Express Co,Financials
33,AIG,"American International Group, Inc.",Financials
34,AMT,American Tower Corp A,Financials
35,AWK,American Water Works Company Inc,Utilities
36,AMP,Ameriprise Financial,Financials
37,ABC,AmerisourceBergen Corp,Health Care
38,AME,Ametek,Industrials
39,AMGN,Amgen Inc,Health Care
40,APH,Amphenol Corp A,Industrials
41,APC,Anadarko Petroleum Corp,Energy
42,ADI,"Analog Devices, Inc.",Information Technology
43,ANTM,Anthem Inc.,Health Care
44,AON,Aon plc,Financials
45,APA,Apache Corporation,Energy
46,AIV,Apartment Investment & Mgmt,Financials
47,AAPL,Apple Inc.,Information Technology
48,AMAT,Applied Materials Inc,Information Technology
49,ADM,Archer-Daniels-Midland Co,Consumer Staples
50,AJG,Arthur J. Gallagher & Co.,Financials
51,AIZ,Assurant Inc,Financials
52,T,AT&T Inc,Telecommunications Services
53,ADSK,Autodesk Inc,Information Technology
54,ADP,Automatic Data Processing,Information Technology
55,AN,AutoNation Inc,Consumer Discretionary
56,AZO,AutoZone Inc,Consumer Discretionary
57,AVGO,Avago Technologies,Information Technology
58,AVB,"AvalonBay Communities, Inc.",Financials
59,AVY,Avery Dennison Corp,Materials
60,BHI,Baker Hughes Inc,Energy
61,BLL,Ball Corp,Materials
62,BAC,Bank of America Corp,Financials
63,BCR,Bard (C.R.) Inc.,Health Care
64,BAX,Baxter International Inc.,Health Care
65,BBT,BB&T Corporation,Financials
66,BDX,Becton Dickinson,Health Care
67,BBBY,Bed Bath & Beyond,Consumer Discretionary
68,BRK-B,Berkshire Hathaway,Financials
69,BBY,Best Buy Co. Inc.,Consumer Discretionary
70,BIIB,BIOGEN IDEC Inc.,Health Care
71,BLK,BlackRock,Financials
72,HRB,Block H&R,Financials
73,BA,Boeing Company,Industrials
74,BWA,BorgWarner,Consumer Discretionary
75,BXP,Boston Properties,Financials
76,BSX,Boston Scientific,Health Care
77,BMY,Bristol-Myers Squibb,Health Care
78,BF-B,Brown-Forman Corporation,Consumer Staples
79,CHRW,C. H. Robinson Worldwide,Industrials
80,CA,"CA, Inc.",Information Technology
81,COG,Cabot Oil & Gas,Energy
82,CPB,Campbell Soup,Consumer Staples
83,COF,Capital One Financial,Financials
84,CAH,Cardinal Health Inc.,Health Care
85,KMX,Carmax Inc,Consumer Discretionary
86,CCL,Carnival Corp.,Consumer Discretionary
87,CAT,Caterpillar Inc.,Industrials
88,CBG,CBRE Group,Financials
89,CBS,CBS Corp.,Consumer Discretionary
90,CELG,Celgene Corp.,Health Care
91,CNC,Centene Corporation,Health Care
92,CNP,CenterPoint Energy,Utilities
93,CTL,CenturyLink Inc,Telecommunications Services
94,CERN,Cerner,Health Care
95,CF,CF Industries Holdings Inc,Materials
96,SCHW,Charles Schwab Corporation,Financials
97,CHK,Chesapeake Energy,Energy
98,CVX,Chevron Corp.,Energy
99,CMG,Chipotle Mexican Grill,Consumer Discretionary
100,CB,Chubb Limited,Financials
101,CHD,Church & Dwight,Consumer Staples
102,CI,CIGNA Corp.,Health Care
103,XEC,Cimarex Energy,Energy
104,CINF,Cincinnati Financial,Financials
105,CTAS,Cintas Corporation,Industrials
106,CSCO,Cisco Systems,Information Technology
107,C,Citigroup Inc.,Financials
108,CFG,Citizens Financial Group,Financials
109,CTXS,Citrix Systems,Information Technology
110,CME,CME Group Inc.,Financials
111,CMS,CMS Energy,Utilities
112,COH,Coach Inc.,Consumer Discretionary
113,CTSH,Cognizant Technology Solutions,Information Technology
114,CL,Colgate-Palmolive,Consumer Staples
115,CMCSA,Comcast A Corp,Consumer Discretionary
116,CMA,Comerica Inc.,Financials
117,CAG,ConAgra Foods Inc.,Consumer Staples
118,CXO,Concho Resources,Energy
119,COP,ConocoPhillips,Energy
120,ED,Consolidated Edison,Utilities
121,STZ,Constellation Brands,Consumer Staples
122,GLW,Corning Inc.,Industrials
123,COST,Costco Co.,Consumer Staples
124,CCI,Crown Castle International Corp.,Financials
125,CSRA,CSRA Inc.,Information Technology
126,CSX,CSX Corp.,Industrials
127,CMI,Cummins Inc.,Industrials
128,CVS,CVS Health,Consumer Staples
129,DHI,D. R. Horton,Consumer Discretionary
130,DHR,Danaher Corp.,Industrials
131,DRI,Darden Restaurants,Consumer Discretionary
132,DVA,DaVita Inc.,Health Care
133,DE,Deere & Co.,Industrials
134,DLPH,Delphi Automotive,Consumer Discretionary
135,DAL,Delta Air Lines,Industrials
136,XRAY,Dentsply Sirona,Health Care
137,DVN,Devon Energy Corp.,Energy
138,DO,Diamond Offshore Drilling,Energy
139,DLR,Digital Realty Trust,Financials
140,DFS,Discover Financial Services,Financials
141,DISCA,Discovery Communications-A,Consumer Discretionary
142,DISCK,Discovery Communications-C,Consumer Discretionary
143,DG,Dollar General,Consumer Discretionary
144,DLTR,Dollar Tree,Consumer Discretionary
145,D,Dominion Resources,Utilities
146,DOV,Dover Corp.,Industrials
147,DOW,Dow Chemical,Materials
148,DPS,Dr Pepper Snapple Group,Consumer Staples
149,DTE,DTE Energy Co.,Utilities
150,DD,Du Pont (E.I.),Materials
151,DUK,Duke Energy,Utilities
152,DNB,Dun & Bradstreet,Industrials
153,ETFC,E*Trade,Financials
154,EMN,Eastman Chemical,Materials
155,ETN,Eaton Corporation,Industrials
156,EBAY,eBay Inc.,Information Technology
157,ECL,Ecolab Inc.,Materials
158,EIX,Edison Int'l,Utilities
159,EW,Edwards Lifesciences,Health Care
160,EA,Electronic Arts,Information Technology
161,EMC,EMC Corp.,Information Technology
162,EMR,Emerson Electric Company,Industrials
163,ENDP,Endo International,Health Care
164,ETR,Entergy Corp.,Utilities
165,EOG,EOG Resources,Energy
166,EQT,EQT Corporation,Energy
167,EFX,Equifax Inc.,Financials
168,EQIX,Equinix,Information Technology
169,EQR,Equity Residential,Financials
170,ESS,Essex Property Trust Inc,Financials
171,EL,Estee Lauder Cos.,Consumer Staples
172,ES,Eversource Energy,Utilities
173,EXC,Exelon Corp.,Utilities
174,EXPE,Expedia Inc.,Consumer Discretionary
175,EXPD,Expeditors Int'l,Industrials
176,ESRX,Express Scripts,Health Care
177,EXR,Extra Space Storage,Financials
178,XOM,Exxon Mobil Corp.,Energy
179,FFIV,F5 Networks,Information Technology
180,FB,Facebook,Information Technology
181,FAST,Fastenal Co,Industrials
182,FRT,Federal Realty Investment Trust,Financials
183,FDX,FedEx Corporation,Industrials
184,FIS,Fidelity National Information Services,Information Technology
185,FITB,Fifth Third Bancorp,Financials
186,FSLR,First Solar Inc,Information Technology
187,FE,FirstEnergy Corp,Utilities
188,FISV,Fiserv Inc,Information Technology
189,FLIR,FLIR Systems,Industrials
190,FLS,Flowserve Corporation,Industrials
191,FLR,Fluor Corp.,Industrials
192,FMC,FMC Corporation,Materials
193,FTI,FMC Technologies Inc.,Energy
194,FL,Foot Locker Inc,Consumer Discretionary
195,F,Ford Motor,Consumer Discretionary
196,FTV,Fortive Corp,Industrials
197,FBHS,Fortune Brands Home & Security,Industrials
198,BEN,Franklin Resources,Financials
199,FCX,Freeport-McMoran Cp & Gld,Materials
200,FTR,Frontier Communications,Telecommunications Services
201,GPS,Gap (The),Consumer Discretionary
202,GRMN,Garmin Ltd.,Consumer Discretionary
203,GD,General Dynamics,Industrials
204,GE,General Electric,Industrials
205,GGP,General Growth Properties Inc.,Financials
206,GIS,General Mills,Consumer Staples
207,GM,General Motors,Consumer Discretionary
